food_item_id,food_item_name,water_g,energy_kcal,protein_g,lipid_g,carbs_g,fiber_td_g,sugar_g,calcium_mg,iron_mg,cholestrl_mg,gmwt_1,gmwt_desc1,gmwt_2,gmwt_desc2,is_active
0,"BUTTER,WITH SALT",15.87,717,0.85,81.11,0.06,0,0.06,24,0.02,215,5,"1 pat,  (1"" sq, 1/3"" high)",14.2,1 tbsp,1
1,"BUTTER,WHIPPED,W/ SALT",16.72,718,0.49,78.3,2.87,0,0.06,23,0.05,225,3.8,"1 pat,  (1"" sq, 1/3"" high)",9.4,1 tbsp,1
2,"BUTTER OIL,ANHYDROUS",0.24,876,0.28,99.48,0,0,0,4,0,256,12.8,1 tbsp,205,1 cup,1
3,"CHEESE,BLUE",42.41,353,21.4,28.74,2.34,0,0.5,528,0.31,75,28.35,1 oz,17,1 cubic inch,1
4,"CHEESE,BRICK",41.11,371,23.24,29.68,2.79,0,0.51,674,0.43,94,132,"1 cup, diced",113,"1 cup, shredded",1
5,"CHEESE,BRIE",48.42,334,20.75,27.68,0.45,0,0.45,184,0.5,100,28.35,1 oz,144,"1 cup, sliced",1
6,"CHEESE,CAMEMBERT",51.8,300,19.8,24.26,0.46,0,0.46,388,0.33,72,28.35,1 oz,246,1 cup,1
7,"CHEESE,CARAWAY",39.28,376,25.18,29.2,3.06,0,,673,0.64,93,28.35,1 oz,,,1
8,"CHEESE,CHEDDAR",37.02,404,22.87,33.31,3.09,0,0.48,710,0.14,99,132,"1 cup, diced",244,"1 cup, melted",1
9,"CHEESE,CHESHIRE",37.65,387,23.37,30.6,4.78,0,,643,0.21,103,28.35,1 oz,,,1
10,"CHEESE,COLBY",38.2,394,23.76,32.11,2.57,0,0.52,685,0.76,95,132,"1 cup, diced",113,"1 cup, shredded",1
11,"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",79.79,98,11.12,4.3,3.38,0,2.67,83,0.07,17,113,4 oz,210,"1 cup, large curd (not packed)",1
12,"CHEESE,COTTAGE,CRMD,W/FRUIT",79.64,97,10.69,3.85,4.61,0.2,2.38,53,0.16,13,113,4 oz,226,"1 cup,  (not packed)",1
13,"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",81.01,72,10.34,0.29,6.66,0,1.85,86,0.15,7,145,"1 cup,  (not packed)",113,4 oz,1
14,"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",81.24,81,10.45,2.27,4.76,0,4,111,0.13,12,113,4 oz,226,"1 cup,  (not packed)",1
15,"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",82.48,72,12.39,1.02,2.72,0,2.72,61,0.14,4,113,4 oz,226,"1 cup,  (not packed)",1
16,"CHEESE,CREAM",52.62,350,6.15,34.44,5.52,0,3.76,97,0.11,101,14.5,1 tbsp,232,1 cup,1
17,"CHEESE,EDAM",41.56,357,24.99,27.8,1.43,0,1.43,731,0.44,89,28.35,1 oz,198,"1 package,  (7 oz)",1
18,"CHEESE,FETA",55.22,264,14.21,21.28,4.09,0,4.09,493,0.65,89,150,"1 cup, crumbled",28.35,1 oz,1
19,"CHEESE,FONTINA",37.92,389,25.6,31.14,1.55,0,1.55,550,0.23,116,132,"1 cup, diced",108,"1 cup, shredded",1
20,"CHEESE,GJETOST",13.44,466,9.65,29.51,42.65,0,,400,0.52,94,28.35,1 oz,227,"1 package,  (8 oz)",1
21,"CHEESE,GOUDA",41.46,356,24.94,27.44,2.22,0,2.22,700,0.24,114,28.35,1 oz,198,"1 package,  (7 oz)",1
22,"CHEESE,GRUYERE",33.19,413,29.81,32.34,0.36,0,0.36,1011,0.17,110,28.35,1 oz,28,"1 slice,  (1 oz)",1
23,"CHEESE,LIMBURGER",48.42,327,20.05,27.25,0.49,0,0.49,497,0.13,90,134,1 cup,28.35,1 oz,1
24,"CHEESE,MONTEREY",41.01,373,24.48,30.28,0.68,0,0.5,746,0.72,89,132,"1 cup, diced",113,"1 cup, shredded",1
25,"CHEESE,MOZZARELLA,WHL MILK",50.01,300,22.17,22.35,2.19,0,1.03,505,0.44,79,112,"1 cup, shredded",28.35,1 oz,1
26,"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",48.38,318,21.6,24.64,2.47,0,1.01,575,0.2,89,28.35,1 oz,18,1 cubic inch,1
27,"CHEESE,MOZZARELLA,PART SKIM MILK",53.78,254,24.26,15.92,2.77,0,1.13,782,0.22,64,28.35,1 oz,,,1
28,"CHEESE,MOZZARELLA,LO MOIST,PART-SKIM",47.07,295,23.75,19.78,5.58,0,1.9,697,0.22,64,132,"1 cup, diced",113,"1 cup, shredded",1
29,"CHEESE,MUENSTER",41.77,368,23.41,30.04,1.12,0,1.12,717,0.41,96,132,"1 cup, diced",113,"1 cup, shredded",1
30,"CHEESE,NEUFCHATEL",63.11,253,9.15,22.78,3.59,0,3.19,117,0.13,74,28.35,1 oz,85,"1 package,  (3 oz)",1
31,"CHEESE,PARMESAN,GRATED",22.65,420,28.42,27.84,13.91,0,0.07,853,0.49,86,100,1 cup,5,1 tbsp,1
32,"CHEESE,PARMESAN,HARD",29.16,392,35.75,25.83,3.22,0,0.8,1184,0.82,68,28.35,1 oz,10.3,1 cubic inch,1
33,"CHEESE,PORT DE SALUT",45.45,352,23.78,28.2,0.57,0,0.57,650,0.43,123,132,"1 cup, diced",113,"1 cup, shredded",1
34,"CHEESE,PROVOLONE",40.95,351,25.58,26.62,2.14,0,0.56,756,0.52,69,132,"1 cup, diced",28.35,1 oz,1
35,"CHEESE,RICOTTA,WHOLE MILK",71.7,174,11.26,12.98,3.04,0,0.27,207,0.38,51,124,.5 cup,246,1 cup,1
36,"CHEESE,RICOTTA,PART SKIM MILK",74.41,138,11.39,7.91,5.14,0,0.31,272,0.44,31,124,.5 cup,28.35,1 oz,1
37,"CHEESE,ROMANO",30.91,387,31.8,26.94,3.63,0,0.73,1064,0.77,104,28.35,1 oz,142,"5 package,  (5 oz)",1
38,"CHEESE,ROQUEFORT",39.38,369,21.54,30.64,2,0,,662,0.56,90,28.35,1 oz,85,"1 package,  (3 oz)",1
39,"CHEESE,SWISS",37.63,393,26.96,30.99,1.44,0,0,890,0.13,93,132,"1 cup, diced",244,"1 cup, melted",1
40,"CHEESE,TILSIT",42.86,340,24.41,25.98,1.88,0,,700,0.23,102,28.35,1 oz,170,"1 package,  (6 oz)",1
41,"CHEESE,PAST PROCESS,AMERICAN,FORT W/ VITAMIN D",39.61,366,18.13,30.71,4.78,0,2.26,1045,0.63,100,28.35,1 oz,28,"1 slice,  (1 oz)",1
42,"CHEESE,PAST PROCESS,PIMENTO",39.08,375,22.13,31.2,1.73,0.1,0.62,614,0.42,94,140,"1 cup, diced",244,"1 cup, melted",1
43,"CHEESE,PAST PROCESS,SWISS",42.31,334,24.73,25.01,2.1,0,1.23,772,0.61,85,140,"1 cup, diced",113,"1 cup, shredded",1
44,"CHEESE FD,COLD PK,AMERICAN",43.12,331,19.66,24.46,8.32,0,,497,0.84,64,28.35,1 oz,227,"1 package,  (8 oz)",1
45,"CHEESE FD,PAST PROCESS,AMERICAN,VITAMIN D FORT",44,330,16.86,25.63,8.56,0,5.59,682,0.26,98,113,1 cup,28.35,1 oz,1
46,"CHEESE FD,PAST PROCESS,SWISS",43.67,323,21.92,24.14,4.5,0,,723,0.6,82,28.35,1 oz,227,"1 package,  (8 oz)",1
47,"CHEESE SPRD,PAST PROCESS,AMERICAN",47.65,290,16.41,21.23,8.73,0,7.32,562,0.33,55,140,"1 cup, diced",244,1 cup,1
48,"CREAM,FLUID,HALF AND HALF",81.24,123,3.13,10.39,4.73,0,4.13,107,0.05,35,30.2,1 fl oz,15,1 tbsp,1
